version:v1.0
Nombreparamostrar [displayName] Obligatorio,Nombre de usuario [userPrincipalName] Obligatorio,Contraseña inicial [passwordProfile] Obligatorio,Bloquear inicio de sesión (Sí/No) [accountEnabled] Obligatorio,Nombre [givenName],Apellidos [surname],Puesto [jobTitle],Departamento [department],Ubicacion de uso [usageLocation],Calle [streetAddress],Estado o provincia [state],Pais o region [country],Codigo postal [postalCode],Ciudad [city]
Diego Murillo,diego.murillo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Diego,Murillo,CEO,directivos,US,5th Avenue 6,New York,EEUU-Este,10001,New York
Carmen Mendez,carmen.mendez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carmen,Mendez,Office Manager,shared,US,5th Avenue 7,New York,EEUU-Este,10001,New York
Sergio Blanco,sergio.blanco@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sergio,Blanco,Network Engineer,it-sistemas,US,5th Avenue 8,New York,EEUU-Este,10001,New York
Paula Delgado,paula.delgado@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Paula,Delgado,Accountant,finanzas,US,5th Avenue 9,New York,EEUU-Este,10001,New York
Marcos Jimenez,marcos.jimenez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marcos,Jimenez,SEO Manager,marketing,US,5th Avenue 10,New York,EEUU-Este,10001,New York
Raquel Herrera,raquel.herrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Raquel,Herrera,Payroll Specialist,recursos-humanos,US,Wilshire Blvd 11,California,EEUU-Oeste,90010,Los Angeles
Adrian Ortiz,adrian.ortiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Adrian,Ortiz,Chief of Staff,directivos,US,Wilshire Blvd 12,California,EEUU-Oeste,90010,Los Angeles
Beatriz Molina,beatriz.molina@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Beatriz,Molina,Executive Assistant,shared,US,Wilshire Blvd 13,California,EEUU-Oeste,90010,Los Angeles
Hugo Vidal,hugo.vidal@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hugo,Vidal,Systems Architect,it-sistemas,US,Wilshire Blvd 14,California,EEUU-Oeste,90010,Los Angeles
Sara Santos,sara.santos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sara,Santos,Compliance Officer,finanzas,US,Wilshire Blvd 15,California,EEUU-Oeste,90010,Los Angeles
Alberto Ramos,alberto.ramos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alberto,Ramos,Content Manager,marketing,US,Wilshire Blvd 16,California,EEUU-Oeste,90010,Los Angeles
Natalia Gil,natalia.gil@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Natalia,Gil,Recruiter,recursos-humanos,US,Wilshire Blvd 17,California,EEUU-Oeste,90010,Los Angeles
Ruben Leon,ruben.leon@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ruben,Leon,COO,directivos,US,Wilshire Blvd 18,California,EEUU-Oeste,90010,Los Angeles
Patricia Ortega,patricia.ortega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Patricia,Ortega,Receptionist,shared,US,Wilshire Blvd 19,California,EEUU-Oeste,90010,Los Angeles
Fernando Reyes,fernando.reyes@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Fernando,Reyes,SysAdmin,it-sistemas,US,Wilshire Blvd 20,California,EEUU-Oeste,90010,Los Angeles
Irene Prieto,irene.prieto@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Irene,Prieto,Tax Specialist,finanzas,US,Wilshire Blvd 21,California,EEUU-Oeste,90010,Los Angeles
Oscar Flores,oscar.flores@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Oscar,Flores,Campaign Manager,marketing,US,Wilshire Blvd 22,California,EEUU-Oeste,90010,Los Angeles
Claudia Cruz,claudia.cruz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Claudia,Cruz,Compensation Analyst,recursos-humanos,US,Wilshire Blvd 23,California,EEUU-Oeste,90010,Los Angeles
Daniel Dominguez,daniel.dominguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Daniel,Dominguez,VP Finance,directivos,US,Wilshire Blvd 24,California,EEUU-Oeste,90010,Los Angeles
Andrea Marquez,andrea.marquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrea,Marquez,Business Analyst,shared,US,Wilshire Blvd 25,California,EEUU-Oeste,90010,Los Angeles
Michael Wagner,michael.wagner@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Michael,Wagner,IT Specialist,it-sistemas,DE,Unter den Linden 1,Berlin,Alemania,10117,Berlin
Susanne Becker,susanne.becker@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Susanne,Becker,Controller,finanzas,DE,Unter den Linden 2,Berlin,Alemania,10117,Berlin
Sabine Schmidt,sabine.schmidt@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sabine,Schmidt,Creative Designer,marketing,DE,Unter den Linden 3,Berlin,Alemania,10117,Berlin
Karin Fischer,karin.fischer@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Karin,Fischer,Talent Acquisition Specialist,recursos-humanos,DE,Unter den Linden 4,Berlin,Alemania,10117,Berlin
Ursula Schmidt,ursula.schmidt@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ursula,Schmidt,Board Member,directivos,DE,Unter den Linden 5,Berlin,Alemania,10117,Berlin
Ingrid Schmidt,ingrid.schmidt@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ingrid,Schmidt,Document Specialist,shared,DE,Unter den Linden 6,Berlin,Alemania,10117,Berlin
Hans Fischer,hans.fischer@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hans,Fischer,Developer,it-sistemas,DE,Unter den Linden 7,Berlin,Alemania,10117,Berlin
Klaus Schneider,klaus.schneider@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Klaus,Schneider,Finance Manager,finanzas,DE,Unter den Linden 8,Berlin,Alemania,10117,Berlin
Michael Weber,michael.weber@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Michael,Weber,Growth Analyst,marketing,DE,Unter den Linden 9,Berlin,Alemania,10117,Berlin
Dieter Weber,dieter.weber@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Dieter,Weber,HR Director,recursos-humanos,DE,Unter den Linden 10,Berlin,Alemania,10117,Berlin
Helga Wagner,helga.wagner@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Helga,Wagner,CEO,directivos,DE,Unter den Linden 11,Berlin,Alemania,10117,Berlin
Claudia Muller,claudia.muller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Claudia,Muller,Office Manager,shared,DE,Unter den Linden 12,Berlin,Alemania,10117,Berlin
Ingrid Hoffmann,ingrid.hoffmann@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ingrid,Hoffmann,Network Engineer,it-sistemas,DE,Unter den Linden 13,Berlin,Alemania,10117,Berlin
Thomas Wagner,thomas.wagner@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Thomas,Wagner,Accountant,finanzas,DE,Unter den Linden 14,Berlin,Alemania,10117,Berlin
Petra Hoffmann,petra.hoffmann@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Petra,Hoffmann,SEO Manager,marketing,DE,Unter den Linden 15,Berlin,Alemania,10117,Berlin
Birgit Becker,birgit.becker@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Birgit,Becker,Payroll Specialist,recursos-humanos,DE,Unter den Linden 16,Berlin,Alemania,10117,Berlin
Dieter Meyer,dieter.meyer@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Dieter,Meyer,Chief of Staff,directivos,DE,Unter den Linden 17,Berlin,Alemania,10117,Berlin
Helga Muller,helga.muller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Helga,Muller,Executive Assistant,shared,DE,Unter den Linden 18,Berlin,Alemania,10117,Berlin
Werner Muller,werner.muller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Werner,Muller,Systems Architect,it-sistemas,DE,Unter den Linden 19,Berlin,Alemania,10117,Berlin
Klaus Fischer,klaus.fischer@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Klaus,Fischer,Compliance Officer,finanzas,DE,Unter den Linden 20,Berlin,Alemania,10117,Berlin
Petra Schäfer,petra.schafer@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Petra,Schäfer,Content Manager,marketing,DE,Unter den Linden 21,Berlin,Alemania,10117,Berlin
Hans Meyer,hans.meyer@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hans,Meyer,Recruiter,recursos-humanos,DE,Unter den Linden 22,Berlin,Alemania,10117,Berlin
Dieter Schneider,dieter.schneider@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Dieter,Schneider,COO,directivos,DE,Unter den Linden 23,Berlin,Alemania,10117,Berlin
Ingrid Wagner,ingrid.wagner@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ingrid,Wagner,Receptionist,shared,DE,Unter den Linden 24,Berlin,Alemania,10117,Berlin
Susanne Wagner,susanne.wagner@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Susanne,Wagner,SysAdmin,it-sistemas,DE,Unter den Linden 25,Berlin,Alemania,10117,Berlin
Thomas Evans,thomas.evans@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Thomas,Evans,IT Specialist,it-sistemas,GB,Oxford Street 1,London,Reino Unido,W1D 1BS,London
Edward Brown,edward.brown@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Edward,Brown,Controller,finanzas,GB,Oxford Street 2,London,Reino Unido,W1D 1BS,London
Amelia Williams,amelia.williams@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Amelia,Williams,Creative Designer,marketing,GB,Oxford Street 3,London,Reino Unido,W1D 1BS,London
Isabella Taylor,isabella.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Isabella,Taylor,Talent Acquisition Specialist,recursos-humanos,GB,Oxford Street 4,London,Reino Unido,W1D 1BS,London
Sophie Thomas,sophie.thomas@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sophie,Thomas,Board Member,directivos,GB,Oxford Street 5,London,Reino Unido,W1D 1BS,London
Edward Williams,edward.williams@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Edward,Williams,Document Specialist,shared,GB,Oxford Street 6,London,Reino Unido,W1D 1BS,London
Isabella Davies,isabella.davies@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Isabella,Davies,Developer,it-sistemas,GB,Oxford Street 7,London,Reino Unido,W1D 1BS,London
Amelia Taylor,amelia.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Amelia,Taylor,Finance Manager,finanzas,GB,Oxford Street 8,London,Reino Unido,W1D 1BS,London
Charlotte Taylor,charlotte.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Charlotte,Taylor,Growth Analyst,marketing,GB,Oxford Street 9,London,Reino Unido,W1D 1BS,London
Thomas Taylor,thomas.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Thomas,Taylor,HR Director,recursos-humanos,GB,Oxford Street 10,London,Reino Unido,W1D 1BS,London
Emma Jones,emma.jones@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Emma,Jones,CEO,directivos,GB,Oxford Street 11,London,Reino Unido,W1D 1BS,London
Olivia Evans,olivia.evans@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Olivia,Evans,Office Manager,shared,GB,Oxford Street 12,London,Reino Unido,W1D 1BS,London
Harry Thomas,harry.thomas@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Harry,Thomas,Network Engineer,it-sistemas,GB,Oxford Street 13,London,Reino Unido,W1D 1BS,London
Noah Wilson,noah.wilson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Noah,Wilson,Accountant,finanzas,GB,Oxford Street 14,London,Reino Unido,W1D 1BS,London
Oliver Williams,oliver.williams@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Oliver,Williams,SEO Manager,marketing,GB,Oxford Street 15,London,Reino Unido,W1D 1BS,London
James Taylor,james.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,James,Taylor,Payroll Specialist,recursos-humanos,GB,Oxford Street 16,London,Reino Unido,W1D 1BS,London
George Taylor,george.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,George,Taylor,Chief of Staff,directivos,GB,Oxford Street 17,London,Reino Unido,W1D 1BS,London
Isabella Brown,isabella.brown@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Isabella,Brown,Executive Assistant,shared,GB,Oxford Street 18,London,Reino Unido,W1D 1BS,London
Edward Roberts,edward.roberts@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Edward,Roberts,Systems Architect,it-sistemas,GB,Oxford Street 19,London,Reino Unido,W1D 1BS,London
Charlie Taylor,charlie.taylor@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Charlie,Taylor,Compliance Officer,finanzas,GB,Oxford Street 20,London,Reino Unido,W1D 1BS,London
Charlotte Brown,charlotte.brown@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Charlotte,Brown,Content Manager,marketing,GB,Oxford Street 21,London,Reino Unido,W1D 1BS,London
Isabella Thomas,isabella.thomas@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Isabella,Thomas,Recruiter,recursos-humanos,GB,Oxford Street 22,London,Reino Unido,W1D 1BS,London
William Brown,william.brown@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,William,Brown,COO,directivos,GB,Oxford Street 23,London,Reino Unido,W1D 1BS,London
Thomas Wilson,thomas.wilson@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Thomas,Wilson,Receptionist,shared,GB,Oxford Street 24,London,Reino Unido,W1D 1BS,London
James Roberts,james.roberts@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,James,Roberts,SysAdmin,it-sistemas,GB,Oxford Street 25,London,Reino Unido,W1D 1BS,London
Martina Esposito,martina.esposito@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Martina,Esposito,IT Specialist,it-sistemas,IT,Via Monte Napoleone 1,Lombardia,Italia,20121,Milan
Riccardo Colombo,riccardo.colombo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Riccardo,Colombo,Controller,finanzas,IT,Via Monte Napoleone 2,Lombardia,Italia,20121,Milan
Francesco Romano,francesco.romano@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Francesco,Romano,Creative Designer,marketing,IT,Via Monte Napoleone 3,Lombardia,Italia,20121,Milan
Valentina Bruno,valentina.bruno@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Valentina,Bruno,Talent Acquisition Specialist,recursos-humanos,IT,Via Monte Napoleone 4,Lombardia,Italia,20121,Milan
Francesca Colombo,francesca.colombo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Francesca,Colombo,Board Member,directivos,IT,Via Monte Napoleone 5,Lombardia,Italia,20121,Milan
Alessandro Ferrari,alessandro.ferrari@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alessandro,Ferrari,Document Specialist,shared,IT,Via Monte Napoleone 6,Lombardia,Italia,20121,Milan
Martina Marino,martina.marino@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Martina,Marino,Developer,it-sistemas,IT,Via Monte Napoleone 7,Lombardia,Italia,20121,Milan
Alessandro Bruno,alessandro.bruno@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alessandro,Bruno,Finance Manager,finanzas,IT,Via Monte Napoleone 8,Lombardia,Italia,20121,Milan
Giulia Bruno,giulia.bruno@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Giulia,Bruno,Growth Analyst,marketing,IT,Via Monte Napoleone 9,Lombardia,Italia,20121,Milan
Giulia Colombo,giulia.colombo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Giulia,Colombo,HR Director,recursos-humanos,IT,Via Monte Napoleone 10,Lombardia,Italia,20121,Milan
Francesca Greco,francesca.greco@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Francesca,Greco,CEO,directivos,IT,Via Monte Napoleone 11,Lombardia,Italia,20121,Milan
Valentina Ricci,valentina.ricci@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Valentina,Ricci,Office Manager,shared,IT,Via Monte Napoleone 12,Lombardia,Italia,20121,Milan
Valentina Romano,valentina.romano@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Valentina,Romano,Network Engineer,it-sistemas,IT,Via Monte Napoleone 13,Lombardia,Italia,20121,Milan
Francesca Ferrari,francesca.ferrari@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Francesca,Ferrari,Accountant,finanzas,IT,Via Monte Napoleone 14,Lombardia,Italia,20121,Milan
Andrea Marino,andrea.marino@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrea,Marino,SEO Manager,marketing,IT,Via Monte Napoleone 15,Lombardia,Italia,20121,Milan
Francesca Bianchi,francesca.bianchi@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Francesca,Bianchi,Payroll Specialist,recursos-humanos,IT,Via Monte Napoleone 16,Lombardia,Italia,20121,Milan
Filippo Bianchi,filippo.bianchi@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Filippo,Bianchi,Chief of Staff,directivos,IT,Via Monte Napoleone 17,Lombardia,Italia,20121,Milan
Giorgia Romano,giorgia.romano@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Giorgia,Romano,Executive Assistant,shared,IT,Via Monte Napoleone 18,Lombardia,Italia,20121,Milan
Filippo Greco,filippo.greco@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Filippo,Greco,Systems Architect,it-sistemas,IT,Via Monte Napoleone 19,Lombardia,Italia,20121,Milan
Elisa Ferrari,elisa.ferrari@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Elisa,Ferrari,Compliance Officer,finanzas,IT,Via Monte Napoleone 20,Lombardia,Italia,20121,Milan
Sara Esposito,sara.esposito@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sara,Esposito,Content Manager,marketing,IT,Via Monte Napoleone 21,Lombardia,Italia,20121,Milan
Filippo Rossi,filippo.rossi@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Filippo,Rossi,Recruiter,recursos-humanos,IT,Via Monte Napoleone 22,Lombardia,Italia,20121,Milan
Federica Ricci,federica.ricci@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Federica,Ricci,COO,directivos,IT,Via Monte Napoleone 23,Lombardia,Italia,20121,Milan
Francesca Bruno,francesca.bruno@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Francesca,Bruno,Receptionist,shared,IT,Via Monte Napoleone 24,Lombardia,Italia,20121,Milan
Lorenzo Romano,lorenzo.romano@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lorenzo,Romano,SysAdmin,it-sistemas,IT,Via Monte Napoleone 25,Lombardia,Italia,20121,Milan
Anna Wisniewski,anna.wisniewski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Anna,Wisniewski,IT Specialist,it-sistemas,PL,ul. Nowy Swiat 1,Mazovia,Polonia,00-001,Warsaw
Monika Zielinski,monika.zielinski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Monika,Zielinski,Controller,finanzas,PL,ul. Nowy Swiat 2,Mazovia,Polonia,00-001,Warsaw
Jakub Kowalczyk,jakub.kowalczyk@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Jakub,Kowalczyk,Creative Designer,marketing,PL,ul. Nowy Swiat 3,Mazovia,Polonia,00-001,Warsaw
Lukasz Kaminski,lukasz.kaminski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lukasz,Kaminski,Talent Acquisition Specialist,recursos-humanos,PL,ul. Nowy Swiat 4,Mazovia,Polonia,00-001,Warsaw
Malgorzata Kowalski,malgorzata.kowalski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Malgorzata,Kowalski,Board Member,directivos,PL,ul. Nowy Swiat 5,Mazovia,Polonia,00-001,Warsaw
Marcin Lewandowski,marcin.lewandowski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marcin,Lewandowski,Document Specialist,shared,PL,ul. Nowy Swiat 6,Mazovia,Polonia,00-001,Warsaw
Karolina Wisniewski,karolina.wisniewski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Karolina,Wisniewski,Developer,it-sistemas,PL,ul. Nowy Swiat 7,Mazovia,Polonia,00-001,Warsaw
Jakub Kowalski,jakub.kowalski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Jakub,Kowalski,Finance Manager,finanzas,PL,ul. Nowy Swiat 8,Mazovia,Polonia,00-001,Warsaw
Agnieszka Kowalczyk,agnieszka.kowalczyk@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Agnieszka,Kowalczyk,Growth Analyst,marketing,PL,ul. Nowy Swiat 9,Mazovia,Polonia,00-001,Warsaw
Pawel Zielinski,pawel.zielinski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Pawel,Zielinski,HR Director,recursos-humanos,PL,ul. Nowy Swiat 10,Mazovia,Polonia,00-001,Warsaw
Michal Kaminski,michal.kaminski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Michal,Kaminski,CEO,directivos,PL,ul. Nowy Swiat 11,Mazovia,Polonia,00-001,Warsaw
Joanna Nowak,joanna.nowak@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Joanna,Nowak,Office Manager,shared,PL,ul. Nowy Swiat 12,Mazovia,Polonia,00-001,Warsaw
Piotr Wozniak,piotr.wozniak@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Piotr,Wozniak,Network Engineer,it-sistemas,PL,ul. Nowy Swiat 13,Mazovia,Polonia,00-001,Warsaw
Marek Szymanski,marek.szymanski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marek,Szymanski,Accountant,finanzas,PL,ul. Nowy Swiat 14,Mazovia,Polonia,00-001,Warsaw
Krzysztof Szymanski,krzysztof.szymanski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Krzysztof,Szymanski,SEO Manager,marketing,PL,ul. Nowy Swiat 15,Mazovia,Polonia,00-001,Warsaw
Lukasz Zielinski,lukasz.zielinski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lukasz,Zielinski,Payroll Specialist,recursos-humanos,PL,ul. Nowy Swiat 16,Mazovia,Polonia,00-001,Warsaw
Malgorzata Lewandowski,malgorzata.lewandowski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Malgorzata,Lewandowski,Chief of Staff,directivos,PL,ul. Nowy Swiat 17,Mazovia,Polonia,00-001,Warsaw
Marcin Wozniak,marcin.wozniak@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marcin,Wozniak,Executive Assistant,shared,PL,ul. Nowy Swiat 18,Mazovia,Polonia,00-001,Warsaw
Ewa Wojciechowski,ewa.wojciechowski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ewa,Wojciechowski,Systems Architect,it-sistemas,PL,ul. Nowy Swiat 19,Mazovia,Polonia,00-001,Warsaw
Malgorzata Nowak,malgorzata.nowak@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Malgorzata,Nowak,Compliance Officer,finanzas,PL,ul. Nowy Swiat 20,Mazovia,Polonia,00-001,Warsaw
Agnieszka Wisniewski,agnieszka.wisniewski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Agnieszka,Wisniewski,Content Manager,marketing,PL,ul. Nowy Swiat 21,Mazovia,Polonia,00-001,Warsaw
Katarzyna Lewandowski,katarzyna.lewandowski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Katarzyna,Lewandowski,Recruiter,recursos-humanos,PL,ul. Nowy Swiat 22,Mazovia,Polonia,00-001,Warsaw
Andrzej Wozniak,andrzej.wozniak@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrzej,Wozniak,COO,directivos,PL,ul. Nowy Swiat 23,Mazovia,Polonia,00-001,Warsaw
Katarzyna Szymanski,katarzyna.szymanski@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Katarzyna,Szymanski,Receptionist,shared,PL,ul. Nowy Swiat 24,Mazovia,Polonia,00-001,Warsaw
Katarzyna Nowak,katarzyna.nowak@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Katarzyna,Nowak,SysAdmin,it-sistemas,PL,ul. Nowy Swiat 25,Mazovia,Polonia,00-001,Warsaw
Joseph Miller,joseph.miller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Joseph,Miller,IT Specialist,it-sistemas,US,5th Avenue 1,New York,EEUU-Este,10001,New York
Sarah Davis,sarah.davis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sarah,Davis,Controller,finanzas,US,5th Avenue 2,New York,EEUU-Este,10001,New York
Melissa Jones,melissa.jones@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Melissa,Jones,Creative Designer,marketing,US,5th Avenue 3,New York,EEUU-Este,10001,New York
Jennifer Martinez,jennifer.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Jennifer,Martinez,Talent Acquisition Specialist,recursos-humanos,US,5th Avenue 4,New York,EEUU-Este,10001,New York
Tyler Martinez,tyler.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Tyler,Martinez,Board Member,directivos,US,5th Avenue 5,New York,EEUU-Este,10001,New York
Matthew Miller,matthew.miller@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Matthew,Miller,Document Specialist,shared,US,5th Avenue 6,New York,EEUU-Este,10001,New York
Brandon Davis,brandon.davis@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Brandon,Davis,Developer,it-sistemas,US,5th Avenue 7,New York,EEUU-Este,10001,New York
Ashley Brown,ashley.brown@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ashley,Brown,Finance Manager,finanzas,US,5th Avenue 8,New York,EEUU-Este,10001,New York
